Supplementary Data 1. Catalog of the 722 canids genomes
Name_ID_Study	Name_ID_SRA	Breed/CommonName	BioProject	BioSample	Sex	CoverageAll	CoverageX	CoverageRatio	AnalysisName_Phylo	Phylo_Results	Phylo_Bootstrap	Phylo_Notes	Genotyped on Illumina canine HD array	Used to do WGS/SNP chip comparison	Other_Information
American Hairless Terrier	AmericanHairlessTerrier01	American Hairless Terrier	PRJNA448733	SAMN08872813	F	50.9758	51.3855	0.99202693366805805	American Hairless Terrier	American Hairless Terrier	100		yes	yes	
Andean Fox	AndeanFox01	Andean Fox	PRJNA232497	SAMN02487034	F	14.5909	14.585000000000001	1.0004045251971203							Andean Fox (Culpeo) [Lycalopex culpaeus]
Australian Cattle Dog 1	AC023	Australian Cattle Dog	PRJEB16012	SAMEA104091560	M	25.3688	14.1469	1.7932409220394574	Australian Cattle Dog 1	Australian Cattle Dog	100				
Australian Cattle Dog 2	AustralianCattleDog01	Australian Cattle Dog	PRJNA263947	SAMN03323677	F	28.3248	28.426100000000002	0.99643637361438953	Australian Cattle Dog 2	Australian Cattle Dog	100				
Australian Cattle Dog 3	AustralianCattleDog02	Australian Cattle Dog	PRJEB13468	SAMEA3928139	F	19.588799999999999	19.937100000000001	0.98253005702935725	Australian Cattle Dog 3	Australian Cattle Dog	100			
Australian Cattle Dog 4	AustralianCattleDog03	Australian Cattle Dog	PRJEB16012	SAMEA4504820	F	20.499400000000001	20.601900000000001	0.99502473072871922	Australian Cattle Dog 4	Australian Cattle Dog	100			
Australian Terrier	AR001	Australian Terrier	PRJEB16012	SAMEA4504840	M	29.0017	16.180800000000001	1.7923526648867791	Australian Terrier	Australian Terrier	100				
Basenji 1	CFA.118003	Basenji	PRJNA263947	SAMN06159689	M	38.845999999999997	21.469899999999999	1.8093237509257145	Basenji 1	Basenji	100				
Basenji 2	Basenji01	Basenji	PRJNA274504	SAMN03366708	M	6.4178499999999996	3.82856	1.676309108385398	Basenji 2	Basenji	100				
Basenji 3	Basenji02	Basenji	PRJNA263947	SAMN04196845	F	13.961499999999999	14.1515	0.98657386142811709	Basenji 3	Basenji	100				
Basenji 4	Basenji03	Basenji	PRJNA263947	SAMN03580393	F	26.919599999999999	27.6907	0.97215310555529477	Basenji 4	Basenji	100				
