Supplementary Data 1. Catalog of the 722 canids genomes
Name_ID_Study	Name_ID_SRA	Breed/CommonName	BioProject	BioSample	Sex	CoverageAll	CoverageX	CoverageRatio	AnalysisName_Phylo	Phylo_Results	Phylo_Bootstrap	Phylo_Notes	Genotyped on Illumina canine HD array	Used to do WGS/SNP chip comparison	Other_Information
Golden Retriever 2	164612_S9	Golden Retriever	PRJNA448733	SAMN08873034	M	29.072800000000001	16.2959	1.7840561122736396	Golden Retriever 2	Golden Retreiver	100			
Golden Retriever 3	172384_S14	Golden Retriever	PRJNA448733	SAMN08873035	F	35.331400000000002	35.052199999999999	1.0079652632359739	Golden Retriever 3	Golden Retreiver	100			
Golden Retriever 4	173006_S10	Golden Retriever	PRJNA448733	SAMN08873036	F	36.104799999999997	35.555399999999999	1.0154519426022488	Golden Retriever 4	Golden Retreiver	100			
Golden Retriever 5	175885_S12	Golden Retriever	PRJNA448733	SAMN08873037	F	32.603099999999998	32.509500000000003	1.0028791583998522	Golden Retriever 5	Golden Retreiver	100			
Golden Retriever 6	91072_S13	Golden Retriever	PRJNA448733	SAMN08873038	F	32.872	32.235599999999998	1.0197421484321683	Golden Retriever 6	Golden Retreiver	100			
Golden Retriever 7	GoldenRetriever01	Golden Retriever	PRJNA288568	SAMN03801668	M	43.2089	24.592300000000002	1.757009307791463	Golden Retriever 7	Golden Retriever	100				
Golden Retriever 8	GoldenRetriever02	Golden Retriever	PRJNA247491	SAMN03067891	M	47.817500000000003	26.727699999999999	1.7890615354108286	Golden Retriever 8	Golden Retriever	100				
Golden Retriever 9	GoldenRetriever03	Golden Retriever	PRJNA247491	SAMN03067895	M	45.024999999999999	25.056699999999999	1.7969245750637555	Golden Retriever 9	Golden Retriever	100				
Golden Retriever 10	GoldenRetriever04	Golden Retriever	PRJNA247491	SAMN03067893	M	48.970100000000002	27.441199999999998	1.7845465941722667	Golden Retriever 10	Golden Retriever	100				
Golden Retriever 11	GoldenRetriever05	Golden Retriever	PRJNA247491	SAMN03067878	M	48.196899999999999	27.195599999999999	1.7722315374545883	Golden Retriever 11	Golden Retriever	100				
Golden Retriever 12	GoldenRetriever06	Golden Retriever	PRJNA247491	SAMN03275923	M	32.067799999999998	17.615100000000002	1.8204722085029319	Golden Retriever 12	Golden Retriever	100			
Golden Retriever 13	GoldenRetriever07	Golden Retriever	PRJNA247491	SAMN03275922	M	39.375700000000002	21.8688	1.8005423251390109	Golden Retriever 13	Golden Retriever	100			
Golden Retriever 14	GoldenRetriever08	Golden Retriever	PRJNA247491	SAMN03275921	F	33.328400000000002	32.755899999999997	1.0174777673640476	Golden Retriever 14	Golden Retriever	100			
Golden Retriever 15	GoldenRetriever09	Golden Retriever	PRJNA247491	SAMN03275924	F	31.7744	31.417000000000002	1.0113760066206194	Golden Retriever 15	Golden Retriever	100			
Golden Retriever 16	GoldenRetriever10	Golden Retriever	PRJNA263947	SAMN03323669	F	20.667400000000001	20.809200000000001	0.9931857063222036	Golden Retriever 16	Golden Retriever	100			
Golden Retriever 17	GoldenRetriever11	Golden Retriever	PRJNA247491	SAMN03067876	M	53.73	28.485900000000001	1.8861963287099932	Golden Retriever 17	Golden Retriever	100				
Golden Retriever 18	GoldenRetriever12	Golden Retriever	PRJNA263947	SAMN03580402	M	31.258299999999998	17.5352	1.7826029928372644	Golden Retriever 18	Golden Retriever	100				
Golden Retriever 19	GoldenRetriever13	Golden Retriever	PRJNA263947	SAMN04196854	M	30.4404	17.333500000000001	1.7561600369227219	Golden Retriever 19	Golden Retriever	100				
Golden Retriever 20	GR0892	Golden Retriever	PRJEB16012	SAMEA104016307	M	22.564299999999999	12.7102	1.7752907113971454	Golden Retriever 20	Golden Retriever	100				
Gordon Setter 1	CFA.109672	Gordon Setter	PRJNA263947	SAMN06159680	F	36.192799999999998	36.009300000000003	1.0050959057798956	Gordon Setter 1	Gordon Setter	100				
Gordon Setter 2	GordonSetter01	Gordon Setter	PRJNA263947	SAMN04196859	F	32.851300000000002	32.846400000000003	1.0001491792098982	Gordon Setter 2	Gordon Setter	100				
Great Dane 1	DD116	Great Dane	PRJEB16012	SAMEA104091557	M	33.816499999999998	18.8339	1.7955123474160954	Great Dane 1	Great Dane	100				Biosample indicated female but average depth indicated male
Great Dane 2	CFA.107837	Great Dane	PRJNA263947	SAMN06159672	M	33.8536	18.740400000000001	1.8064502358540906	Great Dane 2	Great Dane	100				
Great Dane 3	CFA.117997	Great Dane	PRJNA263947	SAMN06159683	F	40.989899999999999	40.173200000000001	1.0203294733802635	Great Dane 3	Great Dane	100				
Great Dane 4	GreatDane01	Great Dane	PRJNA288568	SAMN03801669	F	61.020200000000003	62.583599999999997	0.9750190145661165	Great Dane 4	Great Dane	100		yes	yes	
Great Dane 5	GreatDane02	Great Dane	PRJNA318403	SAMN04851098	F	21.035599999999999	21.165099999999999	0.9938814368937543	Great Dane 5	Great Dane	100				
Great Pyrenees	GreatPyrenees01	Great Pyrenees	PRJNA288568	SAMN03801670	M	19.305099999999999	11.076499999999999	1.7428880964203495	Great Pyrenees	Great Pyrenees	100				
Greater Swiss Mountain Dog 1	CFA.107841	Greater Swiss Mountain Dog	PRJNA263947	SAMN06159674	M	34.860100000000003	19.347200000000001	1.8018162834932188	Greater Swiss Mountain Dog 1	Greater Swiss Mountain Dog	100				
Greater Swiss Mountain Dog 2	GreaterSwissMountainDog01	Greater Swiss Mountain Dog	PRJNA448733	SAMN08873062	M	41.615000000000002	23.674700000000001	1.7577836255580852	Greater Swiss Mountain Dog 2	Greater Swiss Mountain Dog	100				
Greenland Dog	GreenlandDog01	Greenland Dog	PRJNA266585	SAMN03168381	F	17.883400000000002	18.145	0.98558280518049057	Greenland Dog	Greenland dog	100				
Grey Wolf 1	Wolf01	Grey Wolf	PRJNA192935	SAMN01974486	F	12.4528	13.612500000000001	0.9148062442607896							Wolf (Altai, Russia)
Grey Wolf 2	Wolf02	Grey Wolf	PRJNA192935	SAMN01974487	F	9.6648999999999994	8.9691200000000002	1.0775750575307275							Wolf (Chukotka, Russia)
Grey Wolf 3	Wolf03	Grey Wolf	PRJNA192935	SAMN01974488	F	13.547700000000001	12.837300000000001	1.0553387394545581							Wolf (Bryansk, Russia)
Grey Wolf 4	Wolf04	Grey Wolf	PRJNA192935	SAMN01974489	F	9.3350399999999993	9.76403	0.95606424806150736							Wolf (Inner Mongolia)
Grey Wolf 5	Wolf05	Grey Wolf	PRJNA274504	SAMN03366711	F	28.168700000000001	28.177499999999998	0.99968769408215785							Wolf (Chinese)
Grey Wolf 6	Wolf06	Grey Wolf	PRJNA274504	SAMN03366712	F	8.9827399999999997	9.3768899999999995	0.95796580742655613							Wolf (Croatian)
Grey Wolf 7	Wolf07	Grey Wolf	PRJNA274504	SAMN03366710	F	7.0194000000000001	7.1956199999999999	0.97551010197870369							Wolf (Israeli)
Grey Wolf 8	Wolf08	Grey Wolf	PRJNA288568	SAMN03801694	M	22.283999999999999	12.595599999999999	1.7691892406872241							Wolf (Unknown Locale)
Grey Wolf 9	Wolf18	Grey Wolf	PRJNA255370	SAMN02921310	M	26.312899999999999	14.718400000000001	1.787755462550277							Wolf (Great Lakes 01)
Grey Wolf 10	Wolf19	Grey Wolf	PRJNA255370	SAMN02921311	M	27.129000000000001	15.025700000000001	1.8055065654179174							Wolf (India 01)
Grey Wolf 11	Wolf20	Grey Wolf	PRJNA255370	SAMN02921312	F	29.65	29.849499999999999	0.99331647096266262							Wolf (Iran 01)
Grey Wolf 12	Wolf21	Grey Wolf	PRJNA255370	SAMN02921313	M	6.6804399999999999	3.9007700000000001	1.7125952055619786							Wolf (Italy 01)
Grey Wolf 13	Wolf22	Grey Wolf	PRJNA255370	SAMN02921314	F	25.347200000000001	25.303000000000001	1.0017468284393154							Wolf (Mexico 01)
Grey Wolf 14	Wolf23	Grey Wolf	PRJNA255370	SAMN02921315	F	6.1300100000000004	6.0924399999999999	1.0061666590069005							Wolf (Mexico 02)
Grey Wolf 15	Wolf24	Grey Wolf	PRJNA255370	SAMN02921316	F	27.797699999999999	27.956900000000001	0.994305520283007							Wolf (Portugal 01)
Grey Wolf 16	Wolf27	Grey Wolf	PRJNA255370	SAMN02921319	F	27.37	27.552	0.99339430894308944							Wolf (Spain 01)
Grey Wolf 17	Wolf28	Grey Wolf	PRJNA255370	SAMN02921320	F	27.936900000000001	27.715199999999999	1.0079992206442674							Wolf (Yellowstone 01)
Grey Wolf 18	Wolf29	Grey Wolf	PRJNA255370	SAMN02921321	M	25.8537	14.2722	1.8114726531298608							Wolf (Yellowstone 02)
Grey Wolf 19	Wolf30	Grey Wolf	PRJNA255370	SAMN02921322	M	6.4870700000000001	3.9536799999999999	1.6407675886768784							Wolf (Yellowstone 03)
Grey Wolf 20	Wolf31	Grey Wolf	PRJNA266585	SAMN03168394	F	17.225899999999999	17.1142	1.0065267438735086							
Grey Wolf 21	Wolf32	Grey Wolf	PRJNA266585	SAMN03168397	M	15.1332	9.0247499999999992	1.6768553145516498							
Grey Wolf 22	Wolf33	Grey Wolf	PRJNA266585	SAMN03168399	M	19.085599999999999	10.691000000000001	1.7852025067814048							
Grey Wolf 23	Wolf34	Grey Wolf	PRJNA266585	SAMN03168396	M	17.4116	10.2606	1.6969378009083289							
Grey Wolf 24	Wolf35	Grey Wolf	PRJNA266585	SAMN03168398	F	31.859300000000001	37.471499999999999	0.8502275062380743							
Grey Wolf 25	Wolf36	Grey Wolf	PRJNA266585	SAMN03168400	M	21.2439	14.2272	1.4931891025641026							
Grey Wolf 26	Wolf37	Grey Wolf	PRJNA266585	SAMN03168393	M	11.0496	6.5623699999999996	1.6837819263467315							
Grey Wolf 27	Wolf38	Grey Wolf	PRJNA266585	SAMN03168395	M	9.22011	5.5213200000000002	1.6699104561952576							
Grey Wolf (Canis Lupus chanco) 1	WolfTibetan01	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03652997	M	27.317	15.3202	1.7830707170924662							Grey Wolf (Inner Mongolia, Haerbing Zoo, Lowland)
Grey Wolf (Canis Lupus chanco) 2	WolfTibetan02	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03653003	F	27.258199999999999	27.389399999999998	0.99520982569899308							Grey Wolf (Inner Mongolia, Haerbing Zoo, Lowland)
Grey Wolf (Canis Lupus chanco) 3	WolfTibetan03	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03652998	F	27.763100000000001	27.7865	0.99915786443056887							Grey Wolf (Qinghai, Xining Zoo, Highland)
Grey Wolf (Canis Lupus chanco) 4	WolfTibetan04	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03653001	M	27.741199999999999	15.129	1.8336439949765351							Grey Wolf (Qinghai, Xining Zoo, Highland)
Grey Wolf (Canis Lupus chanco) 5	WolfTibetan05	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03653004	M	25.146999999999998	13.4971	1.863140971023405							Grey Wolf (Tibet, Luobulingka Zoo, Highland)
Grey Wolf (Canis Lupus chanco) 6	WolfTibetan06	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03652999	M	27.393699999999999	15.2522	1.7960490945568508							Grey Wolf (Tibet, Luobulingka Zoo, Highland)
Grey Wolf (Canis Lupus chanco) 7	WolfTibetan07	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03653000	F	25.1953	24.946100000000001	1.0099895374427263							Grey Wolf (Xinjiang Kalamaili Nature Reserve, Lowland)
Grey Wolf (Canis Lupus chanco) 8	WolfTibetan08	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03653002	M	27.836600000000001	15.048500000000001	1.849792338106788							Grey Wolf (Xinjiang Duzhishan Garden, Lowland)
Greyhound 1	Greyhound01	Greyhound	PRJNA288568	SAMN03801671	F	18.0336	18.5108	0.97422045508567967	Greyhound 1	Greyhound	100				
Greyhound 2	Greyhound02	Greyhound	PRJNA247491	SAMN03067872	M	58.872599999999998	30.509499999999999	1.929648142381881	Greyhound 2	Greyhound	100				
Greyhound 3	Greyhound03	Greyhound	PRJNA247491	SAMN03067873	M	70.605900000000005	39.945500000000003	1.7675557947703746	Greyhound 3	Greyhound	100				
Greyhound 4	Greyhound04	Greyhound	PRJNA247491	SAMN03067882	M	41.1858	30.546900000000001	1.3482808402816653	Greyhound 4	Greyhound	100				
Greyhound 5	Greyhound05	Greyhound	PRJNA247491	SAMN03068229	F	51.061199999999999	51.305	0.9952480265081376	Greyhound 5	Greyhound	100				
Greyhound 6	Greyhound06	Greyhound	PRJNA247491	SAMN03067874	M	75.685599999999994	42.607399999999998	1.7763487093791219	Greyhound 6	Greyhound	100				
Greyhound 7	Greyhound07	Greyhound	PRJNA247491	SAMN03067890	F	57.249299999999998	57.573099999999997	0.99437584566403414	Greyhound 7	Greyhound	100				
Greyhound 8	Greyhound08	Greyhound	PRJNA247491	SAMN03068228	F	73.857399999999998	74.205100000000002	0.99531433823281679	Greyhound 8	Greyhound	100				
Greyhound 9	GY432	Greyhound	PRJEB16012	SAMEA104125118	F	37.638599999999997	38.087200000000003	0.988221764792371	Greyhound 9	Greyhound	100				
Grossspitz	GS104	Grossspitz	PRJEB16012	SAMEA104105252	F	30.3111	31.1937	0.97170582521470683	Grossspitz	outside Eurasier and Samoyed clade	97	Breed not available for comparison			
Heideterrier	Heideterrier01	Heideterrier	PRJEB16012	SAMEA103135918	F	24.7455	25.220700000000001	0.98115833422545762	Heideterrier	outside Lakeland Terrier, Smooth Fox Terrier and Wire Fox Terrier clade	100	Breed not available for comparison			
Hovawart	HW1706	Hovawart	PRJEB16012	SAMEA4506894	F	14.576700000000001	14.7294	0.98963297894007907	Hovawart	with Southern Continental Herders clade	89	Breed not available for comparison			
Iberian Wolf (Canis lupus signatus)	Wolf39	Iberian Wolf (Canis lupus signatus)	PRJNA318403	SAMN04851099	F	38.613300000000002	39.164499999999997	0.9859260299505932							
Irish Setter	IrishSetter01	Irish Setter	PRJNA448733	SAMN08873112	F	47.365000000000002	48.264200000000002	0.98136921362003304	Irish Setter	Irish Setter	100				
Irish Terrier 1	CFA.117998	Irish Terrier	PRJNA263947	SAMN06159684	M	42.633499999999998	23.633299999999998	1.8039588208163904	Irish Terrier 1	Irish Terrier	100				
Irish Terrier 2	IrishTerrier01	Irish Terrier	PRJEB13468	SAMEA3928141	M	20.5625	11.4556	1.7949736373476728	Irish Terrier 2	Irish Terrier	100			
Irish Water Spaniel 1	IrishWaterSpaniel01	Irish Water Spaniel	PRJNA448733	SAMN08873115	F	55.760399999999997	56.966500000000003	0.97882790762992278	Irish Water Spaniel 1	Irish Water Spaniel	100		yes	yes	
Irish Water Spaniel 2	IrishWaterSpaniel02	Irish Water Spaniel	PRJNA448733	SAMN08873116	M	54.514499999999998	30.678999999999998	1.7769321033932006	Irish Water Spaniel 2	Irish Water Spaniel	100		yes	yes	
Irish Water Spaniel 3	IrishWaterSpaniel03	Irish Water Spaniel	PRJNA448733	SAMN08873117	F	54.006999999999998	55.314	0.97637126224825532	Irish Water Spaniel 3	Irish Water Spaniel	100		yes	yes	
Irish Wolfhound	IrishWolfhound01	Irish Wolfhound	PRJNA288568	SAMN03801672	F	41.0306	41.351500000000001	0.99223970109911364	Irish Wolfhound	Irish Wolfhound	100		yes	yes	
Istrian Shorthaired Hound	IstrianShorthairedHound01	Istrian Shorthaired Hound	PRJNA232497	SAMN02485584	F	7.0132899999999996	7.2472300000000001	0.96772008063770565	Istrian Shorthaired Hound	outside Segugio Italiano	53	Breed not available for comparison			
Italian Greyhound 1	ItalianGreyhound01	Italian Greyhound	PRJNA288568	SAMN03801673	M	23.6235	13.4397	1.75774012812786	Italian Greyhound 1	Italian Greyhound	100			
Italian Greyhound 2	ItalianGreyhound02	Italian Greyhound	PRJNA448733	SAMN03801674	F	31.327400000000001	31.439699999999998	0.99642808296516827	Italian Greyhound 2	Italian Greyhound	100				
Jack Russell Terrier 1	JackRussellTerrier02	Jack Russell Terrier	PRJNA263947	SAMN03580384	M	29.9588	17.076499999999999	1.7543876087020174	Jack Russell Terrier 1	Jack Russell Terrier	100				
Jack Russell Terrier 2	JackRussellTerrier03	Jack Russell Terrier	PRJNA263947	SAMN03580400	F	38.414900000000003	38.906500000000001	0.98736457918342702	Jack Russell Terrier 2	Jack Russell Terrier	100				
Jack Russell Terrier 3	JackRussellTerrier04	Jack Russell Terrier	PRJNA263947	SAMN03580404	F	26.838100000000001	26.7898	1.0018029249938409	Jack Russell Terrier 3	Jack Russell Terrier	100				
Jack Russell Terrier 4	JackRussellTerrier05	Jack Russell Terrier	PRJNA263947	SAMN04196852	M	26.929500000000001	15.0373	1.7908467610541787	Jack Russell Terrier 4	Jack Russell Terrier	100				
Jamthund	Jamthund01	Jamthund	PRJNA266585	SAMN03168383	M	38.5871	21.712	1.7772245762711865	Jamthund	Norwegian Elkhound	100	Breed not available for comparison			
Jindo	Jindo01	Jindo	PRJDB2266	SAMD00009664	M	44.367199999999997	24.739699999999999	1.7933604692053662	Jindo	outside Akita clade	69	Breed not available for comparison			
Keeshond	Keeshond01	Keeshond	PRJNA448733	SAMN08873128	F	44.230800000000002	44.613	0.99143299038396882	Keeshond	Keeshond	100				
Kerry Blue Terrier	KerryBlueTerrier02	Kerry Blue Terrier	PRJNA263947	SAMN03580387	F	26.775200000000002	27.047899999999998	0.98991788641632084	Kerry Blue Terrier	Kerry Blue Terrier	100				
Komondor	Komondor01	Komondor	PRJNA448733	SAMN08873130	M	49.702399999999997	27.764199999999999	1.7901614309074276	Komondor	Komondor	100				
Kromfohrländer	Kromfohrlander01	Kromfohrländer	PRJEB6076	SAMEA2446055	M	24.168600000000001	13.441599999999999	1.7980448756100467	Kromfohrländer	with Norwegian Lundehund outside Airedale Terrier clade	60	Breed not available for comparison		
Kunming Dog 1	VillDog_China10	Kunming Dog	PRJNA233638	SAMN02585191	F	12.238300000000001	12.353300000000001	0.99069074660212253	Kunming Dog 1	Kunming Dog	100	Breed not available for comparison			Mislabeled originally as Village Dog - China, but submitted to SRA as Kunming Dog
Kunming Dog 2	VillDog_China11	Kunming Dog	PRJNA233638	SAMN02585192	F	17.589400000000001	17.797000000000001	0.98833511265943708	Kunming Dog 2	Kunming Dog	100	Breed not available for comparison			Mislabeled originally as Village Dog - China, but submitted to SRA as Kunming Dog
Kunming Dog 3	VillDog_China12	Kunming Dog	PRJNA233638	SAMN02585193	F	16.738199999999999	16.942599999999999	0.98793573595552042	Kunming Dog 3	Kunming Dog	100	Breed not available for comparison			Mislabeled originally as Village Dog - China, but submitted to SRA as Kunming Dog
Kunming Dog 4	VillDog_China13	Kunming Dog	PRJNA233638	SAMN02585194	F	17.2333	17.424800000000001	0.98900991690005047	Kunming Dog 4	Kunming Dog	100	Breed not available for comparison			Mislabeled originally as Village Dog - China, but submitted to SRA as Kunming Dog
Kunming Dog 5	VillDog_China14	Kunming Dog	PRJNA233638	SAMN02585195	F	17.027699999999999	17.260899999999999	0.98648969636577466	Kunming Dog 5	Kunming Dog	100	Breed not available for comparison			Mislabeled originally as Village Dog - China, but submitted to SRA as Kunming Dog
Kunming Dog 6	VillDog_China15	Kunming Dog	PRJNA233638	SAMN02585196	M	16.497199999999999	9.2397399999999994	1.7854614956697916	Kunming Dog 6	Kunming Dog	100	Breed not available for comparison			Mislabeled originally as Village Dog - China, but submitted to SRA as Kunming Dog
Kunming Dog 7	VillDog_China16	Kunming Dog	PRJNA233638	SAMN02585197	M	18.4421	10.3621	1.7797647195066637	Kunming Dog 7	Kunming Dog	100	Breed not available for comparison			Mislabeled originally as Village Dog - China, but submitted to SRA as Kunming Dog
Labrador Retriever 1	LabradorRetriever13	Labrador Retriever	PRJNA448733	SAMN08873139	F	16.852399999999999	19.808499999999999	0.85076608526642605	Labrador Retriever 1	Labrador Retriever	100				One of six BAM file that needed to be remade after making 722g VCF - Slight diffences in genotypes in 722g VCF compared to a joint call of the 6g for a subset of Illumina SNPchip SNPs (123 out of 116523 tested for 0.1% discordance)
Labrador Retriever 2	CFA.117999	Labrador Retriever	PRJNA263947	SAMN06159685	M	37.128500000000003	20.566199999999998	1.8053164901634724	Labrador Retriever 2	Labrador Retriever	100				
Labrador Retriever 3	149323_S6	Labrador Retriever	PRJNA448733	SAMN08873141	F	33.141300000000001	32.928699999999999	1.0064563739230521	Labrador Retriever 3	Labrador Retriever	100				
Labrador Retriever 4	152721_S5	Labrador Retriever	PRJNA448733	SAMN08873142	F	33.973799999999997	33.506799999999998	1.0139374694091945	Labrador Retriever 4	Labrador Retriever	100				
Labrador Retriever 5	160822_S4	Labrador Retriever	PRJNA448733	SAMN08873143	F	34.494799999999998	34.375100000000003	1.0034821716882276	Labrador Retriever 5	Labrador Retriever	100				
Labrador Retriever 6	172281_S2	Labrador Retriever	PRJNA448733	SAMN08873144	M	36.508699999999997	20.285900000000002	1.7997081716857519	Labrador Retriever 6	Labrador Retriever	100			
Labrador Retriever 7	172724_S8	Labrador Retriever	PRJNA448733	SAMN08873145	M	29.884599999999999	16.5471	1.8060324769899256	Labrador Retriever 7	Labrador Retriever	100			
Labrador Retriever 8	173486_S3	Labrador Retriever	PRJNA448733	SAMN08873146	M	32.430599999999998	17.5383	1.8491301893570071	Labrador Retriever 8	Labrador Retriever	100			
Labrador Retriever 9	87125_S1	Labrador Retriever	PRJNA448733	SAMN08873147	M	32.6509	17.0091	1.9196136185924004	Labrador Retriever 9	Labrador Retriever	100			
Labrador Retriever 10	91317_S7	Labrador Retriever	PRJNA448733	SAMN08873148	M	31.518699999999999	16.9253	1.862224007846242	Labrador Retriever 10	Labrador Retriever	100			
Labrador Retriever 11	LA2443	Labrador Retriever	PRJEB16012	SAMEA104091568	M	17.782399999999999	10.1957	1.7441078101552614	Labrador Retriever 11	Labrador Retriever	100				
Labrador Retriever 12	LabradorRetriever01	Labrador Retriever	PRJEB5874	SAMEA2417015	M	41.382300000000001	23.180099999999999	1.7852511421434767	Labrador Retriever 12	Labrador Retriever	100			
Labrador Retriever 13	LabradorRetriever02	Labrador Retriever	PRJEB5875	SAMEA2417016	M	29.162299999999998	16.052900000000001	1.8166374922911124	Labrador Retriever 13	Labrador Retriever	100			
Labrador Retriever 14	LabradorRetriever03	Labrador Retriever	PRJNA232497	SAMN02485565	M	9.7200199999999999	5.6471200000000001	1.7212348949553047	Labrador Retriever 14	Labrador Retriever	100				
Labrador Retriever 15	LabradorRetriever04	Labrador Retriever	PRJNA288568	SAMN03801675	F	38.325200000000002	39.235599999999998	0.97679658269530745	Labrador Retriever 15	Labrador Retriever	100				
Labrador Retriever 16	LabradorRetriever05	Labrador Retriever	PRJNA263947	SAMN04196848	M	11.976599999999999	6.9260900000000003	1.7292007467416679	Labrador Retriever 16	Labrador Retriever	100				
Labrador Retriever 17	LabradorRetriever06	Labrador Retriever	PRJNA448733	SAMN08873155	M	41.132100000000001	22.779800000000002	1.8056392066655544	Labrador Retriever 17	Labrador Retriever	100				
Labrador Retriever 18	LabradorRetriever07	Labrador Retriever	PRJNA263947	SAMN03580399	F	37.356000000000002	37.619	0.99300885190993915	Labrador Retriever 18	Labrador Retriever	100				
Labrador Retriever 19	LabradorRetriever08	Labrador Retriever	PRJEB16012	SAMEA4504834	M	15.7211	8.7292799999999993	1.8009618204479638	Labrador Retriever 19	Labrador Retriever	100			
Labrador Retriever 20	LabradorRetriever10	Labrador Retriever	PRJNA263947	SAMN04196862	F	23.8674	24.1297	0.98912957890069086	Labrador Retriever 20	Labrador Retriever	100				
Labrador Retriever 21	LabradorRetriever12	Labrador Retriever	PRJNA263947	SAMN04196865	M	27.882300000000001	15.5716	1.7905867091371472	Labrador Retriever 21	Labrador Retriever	100				
Labrador Retriever 22	LR04989	Labrador Retriever	PRJNA448733	SAMN08873160	M	15.8429	9.4906799999999993	1.6693113665195751	Labrador Retriever 22	Labrador Retriever	100				
Labrador Retriever 23	PER00167	Labrador Retriever	PRJNA448733	SAMN08873161	M	12.6615	8.1132899999999992	1.56058762844666	Labrador Retriever 23	Labrador Retriever	100				
Labrador Retriever 24	PER00177	Labrador Retriever	PRJNA448733	SAMN08873162	M	14.0116	8.8346099999999996	1.5859896475339601	Labrador Retriever 24	Labrador Retriever	100				
Lagotto Romagnolo 1	LagottoRomagnolo01	Lagotto Romagnolo	PRJEB13468	SAMEA3928142	M	7.9604499999999998	4.6426999999999996	1.7146164947121287	Lagotto Romagnolo 1	Lagotto Romagnolo	100			
Lagotto Romagnolo 2	LagottoRomagnolo02	Lagotto Romagnolo	PRJEB16012	SAMEA4505491	M	21.7699	12.0974	1.79955196984476	Lagotto Romagnolo 2	Lagotto Romagnolo	100			
Lagotto Romagnolo 3	LagottoRomagnolo03	Lagotto Romagnolo	PRJEB16012	SAMEA4505494	F	16.988900000000001	16.9711	1.0010488418546823	Lagotto Romagnolo 3	Lagotto Romagnolo	100			
Lagotto Romagnolo 4	LagottoRomagnolo04	Lagotto Romagnolo	PRJEB16012	SAMEA4504833	M	15.0017	8.3364100000000008	1.7995396099759966	Lagotto Romagnolo 4	Lagotto Romagnolo	100			
Lagotto Romagnolo 5	LR1030	Lagotto Romagnolo	PRJEB16012	SAMEA4509490	M	21.0168	11.832800000000001	1.7761476573592048	Lagotto Romagnolo 5	Lagotto Romagnolo	100				
Landseer	Landseer01	Landseer	PRJEB7734	SAMEA3121328	M	23.810300000000002	13.2171	1.8014768746548033	Landseer	Newfoundland	100			
Lapponian Herder	LapponianHerder01	Lapponian Herder	PRJNA266585	SAMN03168384	M	17.048999999999999	9.7423500000000001	1.7499884524780982	Lapponian Herder	outside Finnish Spitz clade	78	Breed not available for comparison			
Leonberger	Leonberger01	Leonberger	PRJEB16012	SAMEA103935360	F	17.119599999999998	17.384499999999999	0.9847622882452759	Leonberger	Leonberger	100				
Lowchen	Lowchen01	Lowchen	PRJNA263947	SAMN04196863	M	29.272300000000001	16.698799999999999	1.7529582964045323	Lowchen	outside Bichon Frise, Bolognese, Havanese and Maltese clade	90	Breed not available for comparison			
English Mastiff 1	EnglishMastiff01	Mastiff (English)	PRJNA288568	SAMN03801664	F	73.3827	73.949600000000004	0.99233396799982687	English Mastiff 1	Mastiff (English)	100		yes	yes
English Mastiff 2	EnglishMastiff02	Mastiff (English)	PRJNA263947	SAMN03580412	M	18.833300000000001	10.507899999999999	1.7922991273232523	English Mastiff 2	Mastiff (English)	100			
Miniature Poodle 1	BAN00024	Miniature Poodle	PRJNA448733	SAMN08873174	M	13.514099999999999	8.5075699999999994	1.5884794365488617	Miniature Poodle 1	Mini/Toy Poodle	100				
Miniature Poodle 2	MiniaturePoodle01	Miniature Poodle	PRJNA448733	SAMN08873175	F	54.1616	55.382100000000001	0.97796219356073533	Miniature Poodle 2	Mini/Toy Poodle	100		yes	yes	
Miniature Schnauzer 1	MS04563	Miniature Schnauzer	PRJNA448733	SAMN08873176	F	9.8064300000000006	10.6248	0.92297549130336576	Miniature Schnauzer 1	Miniature Schnauzer	100				One of six BAM file that needed to be remade after making 722g VCF - Slight diffences in genotypes in 722g VCF compared to a joint call of the 6g for a subset of Illumina SNPchip SNPs (0 out of 109137 tested for 0% discordance)
Miniature Schnauzer 2	MS04593	Miniature Schnauzer	PRJNA448733	SAMN08873177	F	16.697800000000001	18.523900000000001	0.90141924756665714	Miniature Schnauzer 2	Miniature Schnauzer	100				
Miniature Schnauzer 3	MiniatureSchnauzer01	Miniature Schnauzer	PRJNA263947	SAMN04196847	F	6.64229	6.8565800000000001	0.96874680963395743	Miniature Schnauzer 3	Miniature Schnauzer	100				
MIX: American Cocker Spaniel and Beagle 1	C3549	MIX: American Cocker Spaniel and Beagle	PRJNA356874	SAMN06128273	F	12.9252	12.668100000000001	1.0202950718734458	MIX: American Cocker Spaniel and Beagle 1	outside American Cocker Spaniel clade	100				
