Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7120207,2018-05-10 00:06:35,2018-05-04 18:45:52,278108378,83474466226,278108378,300,43387,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120207.sralite.1,SRX4041834,AND10232010_S17,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259303,SAMN08873246,simple,9615,Canis lupus familiaris,AND10232010_S17,,,,,female,,no,,,,,NHGRI,SRA699439,,public,318970EEBCCD2CACB99F0B0B83E78908,5B36825BDF6772B2BFFFE4168CCCD169
SRR7120208,2018-06-13 00:07:02,2018-06-07 15:26:12,241991725,72677166103,241991725,300,34011,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120208.sralite.1,SRX4041835,LEW02122013_S15,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259304,SAMN08873247,simple,9615,Canis lupus familiaris,LEW02122013_S15,,,,,female,,no,,,,,NHGRI,SRA699439,,public,35BBD30F9C018D7739E3A4BB4B9CF9E7,C91760E02AEBEEE6A2FE16D6316CF691
SRR7120209,2018-05-16 00:07:04,2018-05-10 09:29:55,502519042,126634798584,502519042,252,50329,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120209.sralite.1,SRX4041836,Rottweiler04,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259305,SAMN08873251,simple,9615,Canis lupus familiaris,Rottweiler04,,,,,female,,no,,,,,NHGRI,SRA699439,,public,07A983423D43562201EA25ACFAA43B45,2EAC5F42AE20ACD405B331670BD0949A
SRR7120211,2018-05-16 00:07:04,2018-05-10 18:17:43,498173717,125539776684,498173717,252,48205,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120211.sralite.1,SRX4041838,Samoyed01,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259307,SAMN08873258,simple,9615,Canis lupus familiaris,Samoyed01,,,,,female,,no,,,,,NHGRI,SRA699439,,public,C3E3B9435EFCDAB31D669E773F41BD49,F720FC5EAA433708C2D88F6B0CB2CE2E
SRR7120212,2018-05-16 00:07:04,2018-05-10 09:36:19,436172671,109915513092,436172671,252,41458,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120212.sralite.1,SRX4041839,ScottishTerrier02,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259308,SAMN08873262,simple,9615,Canis lupus familiaris,ScottishTerrier02,,,,,male,,no,,,,,NHGRI,SRA699439,,public,7C80AFBA1159B244215FA452C0777A62,0E674861C87F6640C860AA0AC89EC018
SRR7120213,2018-05-16 00:07:04,2018-05-10 09:50:11,383301020,77426806040,383301020,202,35658,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120213.sralite.1,SRX4041840,ScottishTerrier04,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259309,SAMN08873264,simple,9615,Canis lupus familiaris,ScottishTerrier04,,,,,female,,no,,,,,NHGRI,SRA699439,,public,3B0A782DB95F66995225F15C0AA7B9A7,59F4C42080F6D7F456410D223ADFE812
SRR7120214,2018-05-10 00:06:35,2018-05-04 20:11:30,215614234,43122846800,215614234,200,16427,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120214.sralite.1,SRX4041841,PER00751,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259310,SAMN08873270,simple,9615,Canis lupus familiaris,PER00751,,,,,male,,no,,,,,NHGRI,SRA699439,,public,97C57FB594F02370878A6562B3246237,D7184820E38B42AA2881D0EB5FF11719
SRR7120215,2018-05-14 00:07:25,2018-05-07 08:53:58,114361295,24702039720,114361295,216,9764,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120215.sralite.1,SRX4041842,UnknownBreed02,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259311,SAMN08873318,simple,9615,Canis lupus familiaris,UnknownBreed02,,,,,female,,no,,,,,NHGRI,SRA699439,,public,3C722F20D19FD9E2AED1298A9475DEF3,3D7630C79854D708CCAC614CFD0987E7
SRR7120216,2018-05-14 00:07:25,2018-05-07 08:39:29,124107834,26807292144,124107834,216,11302,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120216.sralite.1,SRX4041843,UnknownBreed03,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259312,SAMN08873319,simple,9615,Canis lupus familiaris,UnknownBreed03,,,,,female,,no,,,,,NHGRI,SRA699439,,public,9FA49BC505A7EA66F0D77A9560FC9890,A897CDA78AA3F7A861B434D7AB695760
SRR7120217,2018-05-14 00:07:25,2018-05-07 10:01:44,85672265,18505209240,85672265,216,7175,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120217.sralite.1,SRX4041844,UnknownBreed05,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259313,SAMN08873321,simple,9615,Canis lupus familiaris,UnknownBreed05,,,,,male,,no,,,,,NHGRI,SRA699439,,public,099A92E4D1F73556444EB4862D74FCE1,BF251AFE2B2A55310C5E22124B53964A
