Run	BioSample	Name	Breed	Category	bases	size_MB	LibraryLayout	Platform	Model
SRR1062055	SAMN02485611	Village Dog - Vietnam 3	Village Dog - Vietnam	village	12693641216	7433	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1062072	SAMN02485612	Village Dog - Vietnam 4	Village Dog - Vietnam	village	5357020810	2691	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1062078	SAMN02485612	Village Dog - Vietnam 4	Village Dog - Vietnam	village	18360144812	10310	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1062090	SAMN02485613	Village Dog - Vietnam 5	Village Dog - Vietnam	village	23417467110	14684	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1066702	SAMN02487034	Andean Fox	Andean Fox	wild	18162908982	11680	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1066703	SAMN02487034	Andean Fox	Andean Fox	wild	10641450496	6874	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1062100	SAMN02485614	Village Dog - Vietnam 6	Village Dog - Vietnam	village	15703360618	8568	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138313	SAMN02585181	Village Dog - China 10	Village Dog - China	village	40908650000	28252	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138314	SAMN02585182	Village Dog - China 11	Village Dog - China	village	36536485600	26241	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138315	SAMN02585183	Village Dog - China 12	Village Dog - China	village	35759371600	25854	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138316	SAMN02585184	Village Dog - China 13	Village Dog - China	village	36307499800	26156	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138317	SAMN02585185	Village Dog - China 14	Village Dog - China	village	35014500800	25399	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138318	SAMN02585186	Village Dog - China 15	Village Dog - China	village	38076626000	27165	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138331	SAMN02585187	Village Dog - China 16	Village Dog - China	village	36939602800	26568	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138337	SAMN02585171	Village Dog - China 20	Village Dog - China	village	40639377800	26690	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138338	SAMN02585172	Village Dog - China 21	Village Dog - China	village	40563188800	26467	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138332	SAMN02585188	Village Dog - China 17	Village Dog - China	village	37808435200	27114	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138333	SAMN02585189	Village Dog - China 18	Village Dog - China	village	37780045600	26705	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138334	SAMN02585190	Village Dog - China 19	Village Dog - China	village	39442649200	27420	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138340	SAMN02585173	Village Dog - China 22	Village Dog - China	village	38741152400	25850	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138342	SAMN02585174	Village Dog - China 23	Village Dog - China	village	34800761400	22325	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138343	SAMN02585175	Village Dog - China 24	Village Dog - China	village	37099352200	25245	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138344	SAMN02585176	Village Dog - China 25	Village Dog - China	village	38339988200	25900	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138345	SAMN02585177	Village Dog - China 26	Village Dog - China	village	32800504800	20830	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138349	SAMN02585161	Village Dog - China 30	Village Dog - China	village	40517716000	26992	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138350	SAMN02585162	Village Dog - China 31	Village Dog - China	village	42040639800	28047	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138346	SAMN02585178	Village Dog - China 27	Village Dog - China	village	38961090200	26143	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138347	SAMN02585179	Village Dog - China 28	Village Dog - China	village	38946382000	26151	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138348	SAMN02585180	Village Dog - China 29	Village Dog - China	village	37392267000	24308	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138351	SAMN02585163	Village Dog - China 32	Village Dog - China	village	36823309600	25577	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138352	SAMN02585164	Village Dog - China 33	Village Dog - China	village	38398092800	26893	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138353	SAMN02585165	Village Dog - China 34	Village Dog - China	village	40216380400	26630	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138354	SAMN02585166	Village Dog - China 35	Village Dog - China	village	33668322600	22750	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138355	SAMN02585167	Village Dog - China 36	Village Dog - China	village	41329108400	28633	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138357	SAMN02585168	Village Dog - China 37	Village Dog - China	village	32266464800	22070	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138358	SAMN02585169	Village Dog - China 38	Village Dog - China	village	36394335960	24043	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1138359	SAMN02585170	Village Dog - China 39	Village Dog - China	village	39894241400	26760	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR1518485	SAMN02921301	Coyote 1	Coyote	wild	24381787600	16322	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518486	SAMN02921301	Coyote 1	Coyote	wild	32615250000	21228	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518488	SAMN02921302	Coyote 2	Coyote	wild	18559196600	10898	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518487	SAMN02921301	Coyote 1	Coyote	wild	7839825400	4895	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518513	SAMN02921310	Grey Wolf 9	Grey Wolf	wild	29774912000	19050	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518514	SAMN02921310	Grey Wolf 9	Grey Wolf	wild	34896130200	22784	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518489	SAMN02921303	Coyote 3	Coyote	wild	21981677200	12691	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518515	SAMN02921311	Grey Wolf 10	Grey Wolf	wild	30857999800	19292	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518516	SAMN02921311	Grey Wolf 10	Grey Wolf	wild	35311671800	23332	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518517	SAMN02921312	Grey Wolf 11	Grey Wolf	wild	37549309200	25150	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518518	SAMN02921312	Grey Wolf 11	Grey Wolf	wild	35198722800	24257	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518519	SAMN02921313	Grey Wolf 12	Grey Wolf	wild	19330118160	10707	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518520	SAMN02921314	Grey Wolf 13	Grey Wolf	wild	29014634400	18752	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518521	SAMN02921314	Grey Wolf 13	Grey Wolf	wild	32857392800	21134	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518522	SAMN02921315	Grey Wolf 14	Grey Wolf	wild	18031674120	10442	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518523	SAMN02921316	Grey Wolf 15	Grey Wolf	wild	36598329200	24723	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518524	SAMN02921316	Grey Wolf 15	Grey Wolf	wild	32073654400	21758	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518525	SAMN02921317	Red Wolf 1	Red Wolf	wild	37799328600	25332	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518526	SAMN02921317	Red Wolf 1	Red Wolf	wild	35259217600	24156	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518527	SAMN02921318	Red Wolf 2	Red Wolf	wild	19659354910	10914	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518528	SAMN02921319	Grey Wolf 16	Grey Wolf	wild	37384133000	25539	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518529	SAMN02921319	Grey Wolf 16	Grey Wolf	wild	32298404000	21461	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518530	SAMN02921320	Grey Wolf 17	Grey Wolf	wild	8480914800	5649	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518531	SAMN02921320	Grey Wolf 17	Grey Wolf	wild	29674119200	18414	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518532	SAMN02921320	Grey Wolf 17	Grey Wolf	wild	29916453600	19511	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518533	SAMN02921321	Grey Wolf 18	Grey Wolf	wild	27677429400	17123	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518534	SAMN02921321	Grey Wolf 18	Grey Wolf	wild	35480282000	23048	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR1518535	SAMN02921322	Grey Wolf 19	Grey Wolf	wild	21494702660	12325	PAIRED	ILLUMINA	Illumina HiSeq 1000
SRR2017892	SAMN03652998	Grey Wolf (Canis Lupus chanco) 3	Grey Wolf (Canis Lupus chanco)	wild	33243013620	23156	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017889	SAMN03652997	Grey Wolf (Canis Lupus chanco) 1	Grey Wolf (Canis Lupus chanco)	wild	27437964480	17948	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017890	SAMN03652997	Grey Wolf (Canis Lupus chanco) 1	Grey Wolf (Canis Lupus chanco)	wild	26718247260	17626	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017891	SAMN03652997	Grey Wolf (Canis Lupus chanco) 1	Grey Wolf (Canis Lupus chanco)	wild	13894185060	8942	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017897	SAMN03653003	Grey Wolf (Canis Lupus chanco) 2	Grey Wolf (Canis Lupus chanco)	wild	33264602640	23349	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017895	SAMN03653001	Grey Wolf (Canis Lupus chanco) 4	Grey Wolf (Canis Lupus chanco)	wild	23944068000	15017	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017893	SAMN03652999	Grey Wolf (Canis Lupus chanco) 6	Grey Wolf (Canis Lupus chanco)	wild	33288460020	23255	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017896	SAMN03653002	Grey Wolf (Canis Lupus chanco) 8	Grey Wolf (Canis Lupus chanco)	wild	33249927780	22922	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017894	SAMN03653000	Grey Wolf (Canis Lupus chanco) 7	Grey Wolf (Canis Lupus chanco)	wild	33372936000	23305	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017900	SAMN03653003	Grey Wolf (Canis Lupus chanco) 2	Grey Wolf (Canis Lupus chanco)	wild	34272453600	24721	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017901	SAMN03652998	Grey Wolf (Canis Lupus chanco) 3	Grey Wolf (Canis Lupus chanco)	wild	35100445860	24709	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017902	SAMN03653001	Grey Wolf (Canis Lupus chanco) 4	Grey Wolf (Canis Lupus chanco)	wild	35008345800	24998	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017899	SAMN03653001	Grey Wolf (Canis Lupus chanco) 4	Grey Wolf (Canis Lupus chanco)	wild	9739910340	6433	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017898	SAMN03653004	Grey Wolf (Canis Lupus chanco) 5	Grey Wolf (Canis Lupus chanco)	wild	33312661200	23331	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017903	SAMN03653004	Grey Wolf (Canis Lupus chanco) 5	Grey Wolf (Canis Lupus chanco)	wild	31398298740	22986	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017904	SAMN03652999	Grey Wolf (Canis Lupus chanco) 6	Grey Wolf (Canis Lupus chanco)	wild	35226792720	25325	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017906	SAMN03653002	Grey Wolf (Canis Lupus chanco) 8	Grey Wolf (Canis Lupus chanco)	wild	34965148500	24791	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2017905	SAMN03653000	Grey Wolf (Canis Lupus chanco) 7	Grey Wolf (Canis Lupus chanco)	wild	28421839980	20481	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2095362	SAMN03801694	Grey Wolf 8	Grey Wolf	wild	54361290420	19041	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx
SRR2149862	SAMN03366709	Dingo	Dingo	wild	37962199350	30827	PAIRED	ABI_SOLID	AB SOLiD 4 System
SRR2149863	SAMN03366709	Dingo	Dingo	wild	9322898700	8241	SINGLE	ABI_SOLID	AB SOLiD 4 System
SRR2149864	SAMN03366709	Dingo	Dingo	wild	12355192425	10578	SINGLE	ABI_SOLID	AB SOLiD 4 System
SRR2149865	SAMN03366709	Dingo	Dingo	wild	12771377175	10274	SINGLE	ABI_SOLID	AB SOLiD 4 System
SRR2149866	SAMN03366709	Dingo	Dingo	wild	10604001450	8851	SINGLE	ABI_SOLID	AB SOLiD 4 System
SRR2149868	SAMN03366710	Grey Wolf 7	Grey Wolf	wild	15939221200	8285	SINGLE	ABI_SOLID	AB SOLiD 4 System
SRR2149869	SAMN03366710	Grey Wolf 7	Grey Wolf	wild	47265249300	26084	PAIRED	ABI_SOLID	AB SOLiD 4 System
SRR2149870	SAMN03366710	Grey Wolf 7	Grey Wolf	wild	17788138988	10829	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2149867	SAMN03366709	Dingo	Dingo	wild	17108313000	9914	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2149871	SAMN03366712	Grey Wolf 6	Grey Wolf	wild	50711388200	30425	PAIRED	ABI_SOLID	AB SOLiD 4 System
SRR2149874	SAMN03366713	Golden Jackal	Golden Jackal	wild	12718051400	7331	SINGLE	ABI_SOLID	AB SOLiD 4 System
SRR2149875	SAMN03366713	Golden Jackal	Golden Jackal	wild	20579899900	10929	SINGLE	ABI_SOLID	AB SOLiD 4 System
SRR2149876	SAMN03366713	Golden Jackal	Golden Jackal	wild	55441392100	33196	PAIRED	ABI_SOLID	AB SOLiD 4 System
SRR2149872	SAMN03366712	Grey Wolf 6	Grey Wolf	wild	22933430950	13326	SINGLE	ABI_SOLID	AB SOLiD 4 System
SRR2149873	SAMN03366712	Grey Wolf 6	Grey Wolf	wild	23476643212	14438	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2149877	SAMN03366713	Golden Jackal	Golden Jackal	wild	46343425200	23590	PAIRED	ABI_SOLID	AB SOLiD 4 System
SRR2149878	SAMN03366713	Golden Jackal	Golden Jackal	wild	14064657200	7896	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2149879	SAMN03366711	Grey Wolf 5	Grey Wolf	wild	34053286400	22399	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2149880	SAMN03366711	Grey Wolf 5	Grey Wolf	wild	26256296400	16091	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2149881	SAMN03366711	Grey Wolf 5	Grey Wolf	wild	9095281800	6077	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2827600	SAMN03168394	Grey Wolf 20	Grey Wolf	wild	41926644194	30112	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2827601	SAMN03168397	Grey Wolf 21	Grey Wolf	wild	39118020408	27768	PAIRED	ILLUMINA	Illumina HiSeq 2000
SRR2827608	SAMN03168398	Grey Wolf 24	Grey Wolf	wild	35020752000	24966	PAIRED	ILLUMINA	Illumina HiSeq 2000
