Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR781888,2013-04-15 00:00:00,2014-03-14 13:53:42,98832089,19964081978,98832089,202,11836,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/781/SRR781888/SRR781888.sralite.1,SRX250922,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402070,SAMN01974490,simple,9615,Canis lupus familiaris,dogCI1,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,3CE5E993FC0F5043D9D7339D40A1CA9E,9C66C175D75394201D500FAB639F112B
SRR781955,2013-04-15 00:00:00,2014-03-14 13:57:33,35528323,7176721246,35528323,202,4251,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/781/SRR781955/SRR781955.sralite.1,SRX250932,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402070,SAMN01974490,simple,9615,Canis lupus familiaris,dogCI1,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,B0D8B12FFF763AA79A54FF97F2CDB4D8,4052234F88D8B5D94C92B9C04B71C616
SRR782079,2013-04-15 00:00:00,2014-03-14 15:59:30,170472275,58301518050,0,342,31586,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/782/SRR782079/SRR782079.sralite.1,SRX250950,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402075,SAMN01974491,simple,9615,Canis lupus familiaris,dogCI2,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,70089D27BDED0EC8DDE29A06BD4A0E28,FB7C02ABB7CC3CC2F6B75C83C0318798
SRR782080,2013-04-15 00:00:00,2014-03-14 16:03:44,128128773,31007163066,128128773,242,18749,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/782/SRR782080/SRR782080.sralite.1,SRX250951,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402076,SAMN01974492,simple,9615,Canis lupus familiaris,dogCI3,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,640491907335DA465A9D6DAD8B6ABAFB,87B6A693128C4FBB99EF1D6CB4883920
SRR1061732,2013-12-30 19:34:01,2014-03-04 16:17:19,76815726,13826830680,76815726,180,8059,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR001/061/SRR1061732/SRR1061732.sralite.1,SRX399709,Dog01,WGS,RANDOM,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP034749,PRJNA232497,,232497,SRS520043,SAMN02485568,simple,9615,Canis lupus familiaris,Dog01,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA122309,,public,31A9D2D7AE34C10FC2B5BC70E4628D3E,84E0E767023343F9E2D750B0B5213A34
SRR1061733,2013-12-30 19:34:01,2014-03-04 16:14:33,29100277,5820055400,29100277,200,3492,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR001/061/SRR1061733/SRR1061733.sralite.1,SRX399709,Dog01,WGS,RANDOM,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP034749,PRJNA232497,,232497,SRS520043,SAMN02485568,simple,9615,Canis lupus familiaris,Dog01,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA122309,,public,2558F72C8794E192C62EB5F8D48D62CF,37412E60295D4F77C993ED91127A2F76
SRR1061734,2013-12-30 19:34:01,2014-03-04 16:36:22,82581127,14864602860,82581127,180,8757,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR001/061/SRR1061734/SRR1061734.sralite.1,SRX399710,Dog02,WGS,RANDOM,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP034749,PRJNA232497,,232497,SRS520044,SAMN02485569,simple,9615,Canis lupus familiaris,Dog02,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA122309,,public,13E271554AA98CC17D4B6AFF71A18B1A,CADE70A13A4D5FF4D251F9C1633D4DD9
SRR1061735,2013-12-30 19:34:01,2014-03-04 16:32:25,31575476,6315095200,31575476,200,3738,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR001/061/SRR1061735/SRR1061735.sralite.1,SRX399710,Dog02,WGS,RANDOM,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP034749,PRJNA232497,,232497,SRS520044,SAMN02485569,simple,9615,Canis lupus familiaris,Dog02,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA122309,,public,68A756A8782B1D9D05B3F5F1D2982C96,486C3F7EF781C176AAA259CD0689A8E2
SRR1061736,2013-12-30 19:34:01,2014-03-04 16:53:55,78776214,14179718520,78776214,180,8368,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR001/061/SRR1061736/SRR1061736.sralite.1,SRX399711,Dog03,WGS,RANDOM,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP034749,PRJNA232497,,232497,SRS520045,SAMN02485570,simple,9615,Canis lupus familiaris,Dog03,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA122309,,public,F4ABA24A72E2A243DEA9920E18F1311A,3FAA7BD0CC6D507986D4DFE73784D525
SRR1061737,2013-12-30 19:34:01,2014-03-04 16:51:45,32860559,6572111800,32860559,200,3912,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR001/061/SRR1061737/SRR1061737.sralite.1,SRX399711,Dog03,WGS,RANDOM,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP034749,PRJNA232497,,232497,SRS520045,SAMN02485570,simple,9615,Canis lupus familiaris,Dog03,,,,,,,no,,,,,UNIVERSITY OF MICHIGAN,SRA122309,,public,560213C550D5ECE88BDCB8632F2F1BD6,50012B782162D6F8FF3F5C6E13DD7798
