Name	Breed	BioProject	BioSample	Category
Village Dog - China 33	Village Dog - China	PRJNA233638	SAMN02585164	village
Village Dog - China 34	Village Dog - China	PRJNA233638	SAMN02585165	village
Village Dog - China 35	Village Dog - China	PRJNA233638	SAMN02585166	village
Village Dog - China 36	Village Dog - China	PRJNA233638	SAMN02585167	village
Village Dog - China 37	Village Dog - China	PRJNA233638	SAMN02585168	village
Village Dog - China 38	Village Dog - China	PRJNA233638	SAMN02585169	village
Village Dog - China 39	Village Dog - China	PRJNA233638	SAMN02585170	village
Village Dog - China 40	Village Dog - China	PRJNA232497	SAMN04851103	village
Village Dog - China 41	Village Dog - China	PRJNA232497	SAMN02485575	village
Village Dog - China 42	Village Dog - China	PRJNA232497	SAMN02485572	village
Village Dog - Egypt 1	Village Dog - Egypt	PRJNA232497	SAMN02485582	village
Village Dog - Egypt 2	Village Dog - Egypt	PRJNA232497	SAMN02485583	village
Village Dog - India 1	Village Dog - India	PRJNA232497	SAMN02485586	village
Village Dog - India 2	Village Dog - India	PRJNA232497	SAMN02485587	village
Village Dog - India 3	Village Dog - India	PRJNA232497	SAMN02485588	village
Village Dog - India 4	Village Dog - India	PRJNA232497	SAMN02485590	village
Village Dog - India 5	Village Dog - India	PRJNA232497	SAMN02485591	village
Village Dog - Lebanon 1	Village Dog - Lebanon	PRJNA232497	SAMN02485595	village
Village Dog - Lebanon 2	Village Dog - Lebanon	PRJNA232497	SAMN02485596	village
Village Dog - Lebanon 3	Village Dog - Lebanon	PRJNA232497	SAMN02485597	village
Village Dog - Namibia 1	Village Dog - Namibia	PRJNA232497	SAMN02485598	village
Village Dog - Namibia 2	Village Dog - Namibia	PRJNA232497	SAMN02485599	village
Village Dog - Namibia 3	Village Dog - Namibia	PRJNA232497	SAMN02485600	village
Village Dog - Papua New Guinea 1	Village Dog - Papua New Guinea	PRJNA232497	SAMN02485601	village
Village Dog - Papua New Guinea 2	Village Dog - Papua New Guinea	PRJNA232497	SAMN02485602	village
Village Dog - Papua New Guinea 3	Village Dog - Papua New Guinea	PRJNA232497	SAMN02485603	village
Village Dog - Portugal 1	Village Dog - Portugal	PRJNA232497	SAMN04851101	village
Village Dog - Portugal 2	Village Dog - Portugal	PRJNA232497	SAMN02485604	village
Village Dog - Portugal 3	Village Dog - Portugal	PRJNA232497	SAMN02485605	village
Village Dog - Qatar 1	Village Dog - Qatar	PRJNA232497	SAMN02485606	village
Village Dog - Qatar 2	Village Dog - Qatar	PRJNA232497	SAMN02485607	village
Village Dog - Sub-Saharan Africa	Village Dog - Sub-Saharan Africa	PRJNA232497	SAMN04851104	village
